"GRUPA_ID","SEKCIJA_ID","PODSEKCIJA_ID","PASMINA_ID","FCI_BROJ","NAZIV","ENGLESKI_NAZIV","PODSEKCIJA","SEKCIJA","GRUPA","ZEMLJA_PODRIJETLA","ILUSTRACIJA"
"1","1","","1","293","AUSTRALIAN KELPIE","AUSTRALIAN KELPIE","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","AUSTRALIA","http://www.fci.be/Nomenclature/Illustrations/293g01.jpg"
"1","1","","2","15","CHIEN DE BERGER BELGE","BELGIAN SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","BELGIUM",""
"1","1","","3","83","SCHIPPERKE","SCHIPPERKE","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","BELGIUM",""
"1","1","","4","277","HRVATSKI OVCAR","CROATIAN SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","CROATIA","http://www.fci.be/Nomenclature/Illustrations/277g01.jpg"
"1","1","","5","44","BERGER DE BEAUCE","BERGER DE BEAUCE","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","FRANCE",""
"1","1","","6","113","BERGER DE BRIE","BRIARD","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","FRANCE","http://www.fci.be/Nomenclature/Illustrations/113g01.jpg"
"1","1","","7","141","CHIEN DE BERGER DES PYRENEES A POIL LONG","LONG-HAIRED PYRENEAN SHEEPDOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","FRANCE","http://www.fci.be/Nomenclature/Illustrations/141g01.jpg"
"1","1","","8","176","BERGER PICARD","PICARDY SHEEPDOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","FRANCE",""
"1","1","","9","138","CHIEN DE BERGER DES PYRENEES A FACE RASE","PYRENEAN SHEEPDOG - SMOOTH FACED","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","FRANCE","http://www.fci.be/Nomenclature/Illustrations/138g01.jpg"
"1","1","","10","166","DEUTSCHER SCHÄFERHUND","GERMAN SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)","GERMANY","http://www.fci.be/Nomenclature/Illustrations/166g01-1.jpg"
