"RB","NAZIV","FCI_PSEK_ID","FCI_SEK_FCI_SEK_ID"
"1","Pinscher","1","3"
"2","Schnauzer","2","3"
"3","Smoushond","3","3"
"4","Tchiorny Terrier","4","3"
"1","Mastiff type","5","4"
"2","Mountain type","6","4"
"1","Large-sized Hounds","7","17"
"2","Medium-sized Hounds","8","17"
"3","Small-sized Hounds","9","17"
"1","«Braque»Type","10","20"
"2","Spaniel Type","11","20"
"3","«Griffon» type","12","20"
"1","Pointer","13","21"
"2","Setter","14","21"
"1","Bichons","15","25"
"2","Coton de Tuléar","16","25"
"3","Petit chien lion","17","25"
"1","Griffons","18","27"
"2","Petit Brabançon","19","27"
